name,money_raised,announced_date,location,industries,description,funding_type,lead_investors,total_funding
SpaceX,"$1,724,965,480","May 24, 2022","Hawthorne, California, United States, North America","Advanced Materials, Aerospace, Manufacturing, Space Travel, Transportation",SpaceX is an aviation and aerospace company that focuses on reducing the costs associated with space travel by using reusable rockets.,Venture - Series Unknown,—,"$9,779,343,846"
Anduril Industries,"$1,480,000,000","Dec 2, 2022","Costa Mesa, California, United States, North America","Aerospace, Government, Military, National Security",Anduril Industries is a defense product company that builds technology for military agencies and border surveillance.,Series E,Valor Equity Partners,"$2,171,000,000"
Sierra Space,"$1,400,000,000","Nov 19, 2021","Louisville, Colorado, United States, North America","Advanced Materials, Aerospace, Industrial Manufacturing, Space Travel, Transportation",Sierra Space is a commercial space company that specializes in the development of advanced space technologies and solutions.,Series A,"Coatue, General Atlantic, Moore Strategic Ventures","$1,690,000,000"
OneWeb,"$1,250,000,000","Mar 18, 2019","London, England, United Kingdom, Europe","Aerospace, Internet, Satellite Communication, Telecommunications","OneWeb is building a space-based communications network that delivers high-speed, low-latency internet access.",Venture - Series Unknown,SoftBank,"$4,700,000,000"
SpaceX,"$850,000,000","Feb 16, 2021","Hawthorne, California, United States, North America","Advanced Materials, Aerospace, Manufacturing, Space Travel, Transportation",SpaceX is an aviation and aerospace company that focuses on reducing the costs associated with space travel by using reusable rockets.,Venture - Series Unknown,Sequoia Capital,"$9,779,343,846"
Relativity Space,"$650,000,000","Jun 8, 2021","Long Beach, California, United States, North America","3D Technology, Aerospace, Artificial Intelligence (AI), Manufacturing","Relativity Space is an aerospace company that designs, develops, and builds 3D printed rockets.",Series E,Fidelity,"$1,335,720,000"
OneWeb,"$550,000,000","Apr 27, 2021","London, England, United Kingdom, Europe","Aerospace, Internet, Satellite Communication, Telecommunications","OneWeb is building a space-based communications network that delivers high-speed, low-latency internet access.",Corporate Round,Eutelsat,"$4,700,000,000"
SpaceX,"$535,744,188","May 24, 2019","Hawthorne, California, United States, North America","Advanced Materials, Aerospace, Manufacturing, Space Travel, Transportation",SpaceX is an aviation and aerospace company that focuses on reducing the costs associated with space travel by using reusable rockets.,Venture - Series Unknown,—,"$9,779,343,846"
Relativity Space,"$500,000,000","Nov 17, 2020","Long Beach, California, United States, North America","3D Technology, Aerospace, Artificial Intelligence (AI), Manufacturing","Relativity Space is an aerospace company that designs, develops, and builds 3D printed rockets.",Series D,Tiger Global Management,"$1,335,720,000"
OneWeb,"$500,000,000","Jun 29, 2021","London, England, United Kingdom, Europe","Aerospace, Internet, Satellite Communication, Telecommunications","OneWeb is building a space-based communications network that delivers high-speed, low-latency internet access.",Corporate Round,Bharti Enterprises,"$4,700,000,000"
Anduril Industries,"$450,000,000","Jun 17, 2021","Costa Mesa, California, United States, North America","Aerospace, Government, Military, National Security",Anduril Industries is a defense product company that builds technology for military agencies and border surveillance.,Series D,Elad Gil,"$2,171,000,000"
